fiscal_year,function_code,function_label,subfunction_code,subfunction_label,individual_income_tax_receipts_millions,total_outlays_millions,subfunction_outlays_millions,modeled_income_tax_allocation_millions,allocation_share_percent,outlay_share_percent,allocation_method,legal_allocation_status,actual_or_projection
1962,050,National Defense,051,Department of Defense-Military,45571,106821,50111,21377.6973,46.910748722,46.911187875,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,050,National Defense,053,Atomic energy defense activities,45571,106821,2074,884.782666,1.941547621,1.941565797,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,050,National Defense,054,Defense-related activities,45571,106821,160,68.257101,0.14978188,0.149783282,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,150,International Affairs,151,International development and humanitarian assistance,45571,106821,2883,1229.907631,2.698882253,2.698907518,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,150,International Affairs,152,International security assistance,45571,106821,1958,835.296269,1.832955758,1.832972917,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,150,International Affairs,153,Conduct of foreign affairs,45571,106821,249,106.225113,0.233098051,0.233100233,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,150,International Affairs,154,Foreign information and exchange activities,45571,106821,197,84.041555,0.18441894,0.184420666,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,150,International Affairs,155,International financial programs,45571,106821,353,150.592228,0.330456273,0.330459367,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,250,"General Science, Space, and Technology",251,General science and basic research,45571,106821,497,212.023619,0.465259965,0.465264321,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,250,"General Science, Space, and Technology",252,"Space flight, research, and supporting activities",45571,106821,1226,523.020033,1.147703657,1.147714401,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,270,Energy,271,Energy supply,45571,106821,533,227.381466,0.498960888,0.498965559,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,270,Energy,276,"Energy information, policy, and regulation",45571,106821,71,30.289088,0.066465709,0.066466332,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,300,Natural Resources and Environment,301,Water resources,45571,106821,1290,550.322874,1.207616409,1.207627714,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,300,Natural Resources and Environment,302,Conservation and land management,45571,106821,376,160.404186,0.351987418,0.351990713,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,300,Natural Resources and Environment,303,Recreational resources,45571,106821,123,52.472646,0.11514482,0.115145898,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,300,Natural Resources and Environment,304,Pollution control and abatement,45571,106821,70,29.862482,0.065529573,0.065530186,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,300,Natural Resources and Environment,306,Other natural resources,45571,106821,186,79.348879,0.174121436,0.174123066,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,350,Agriculture,351,Farm income stabilization,45571,106821,3222,1374.527363,3.016232611,3.016260848,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,350,Agriculture,352,Agricultural research and services,45571,106821,340,145.046339,0.318286495,0.318289475,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,370,Commerce and Housing Credit,371,Mortgage credit,45571,106821,650,277.294471,0.608488888,0.608494584,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,370,Commerce and Housing Credit,372,Postal service,45571,106821,797,340.005682,0.74610099,0.746107975,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,370,Commerce and Housing Credit,373,Deposit insurance,45571,106821,-394,-168.08311,-0.36883788,-0.368841333,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,370,Commerce and Housing Credit,376,Other advancement of commerce,45571,106821,371,158.271152,0.347306735,0.347309986,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,400,Transportation,401,Ground transportation,45571,106821,2855,1217.962639,2.672670424,2.672695444,proportional_outlay_share,modeled_not_legal_dedication,actual
1962,400,Transportation,402,Air transportation,45571,106821,818,348.964427,0.765759862,0.765767031,proportional_outlay_share,modeled_not_legal_dedication,actual
