STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,GFS_STO,SECTOR,TRANSFORMATION,UNIT,DERIVATION_TYPE,OVERLAP
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,1991,30.2711371386034,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,1992,29.3122313577604,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,1993,29.411529349134,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,1994,29.9492686946655,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,1995,31.0753898344853,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,1996,32.0884812656366,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,1997,32.3240697116433,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,1998,34.3960617619206,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,1999,36.8846337784155,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,2000,36.463547508179,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,2001,35.5878048813877,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,2002,35.1065733436268,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,2003,35.959127280962,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,2004,36.1596081079872,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,2005,36.28301925929,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,2006,36.3088959170113,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,2007,35.7788359274672,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,2008,33.9779870904655,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,2009,33.1906479114665,0,,,,,,,M,OL
dataflow,IMF.FAD:FM_2025_OCT_VINTAGE(1.0.0),R,AUS,G1_S13_POGDP_PT,A,2010,31.8347817674659,0,,,,,,,M,OL
