DATAFLOW,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,TRANSACTION,INSTR_ASSET,EXPENDITURE,UNIT_MEASURE,VALUATION,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,COUNTERPART_AREA,CONSOLIDATION,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE12_EXP(1.1),A,FRA,S13,_Z,D,D41,_Z,_Z,XDC,S,V,N,T0200,2022,50934,_Z,C,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE12_EXP(1.1),A,KOR,S13,_Z,D,D41,_Z,_Z,XDC,S,V,N,T0200,2022,25668300,_Z,C,,F,2,A,6,KRW
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE12_EXP(1.1),A,JPN,S13,_Z,D,D41,_Z,_Z,XDC,S,V,N,T0200,2022,7659500,_Z,C,,F,2,A,6,JPY
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE12_EXP(1.1),A,DEU,S13,_Z,D,D41,_Z,_Z,XDC,S,V,N,T0200,2022,28018,_Z,C,,F,2,A,6,EUR
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE12_EXP(1.1),A,CAN,S13,_Z,D,D41,_Z,_Z,XDC,S,V,N,T0200,2022,76428,_Z,C,,F,2,A,6,CAD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE12_EXP(1.1),A,AUS,S13,_Z,D,D41,_Z,_Z,XDC,S,V,N,T0200,2022,49705,_Z,C,,F,2,A,6,AUD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE12_EXP(1.1),A,USA,S13,_Z,D,D41,_Z,_Z,XDC,S,V,N,T0200,2022,953966.157,_Z,C,,F,2,A,6,USD
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE12_EXP(1.1),A,GBR,S13,_Z,D,D41,_Z,_Z,XDC,S,V,N,T0200,2022,108246,_Z,C,,F,2,A,6,GBP
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE12_EXP(1.1),A,SWE,S13,_Z,D,D41,_Z,_Z,XDC,S,V,N,T0200,2022,29731,_Z,C,,F,2,A,6,SEK
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE12_EXP(1.1),A,POL,S13,_Z,D,D41,_Z,_Z,XDC,S,V,N,T0200,2022,47356,_Z,C,,F,2,A,6,PLN
OECD.SDD.NAD:DSD_NASEC10@DF_TABLE12_EXP(1.1),A,NLD,S13,_Z,D,D41,_Z,_Z,XDC,S,V,N,T0200,2022,5650,_Z,C,,F,2,A,6,EUR
