DATAFLOW,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,REVENUE_CODE,DECIMALS,CURRENCY
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),USA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,27.606753,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),POL,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,34.379917,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),KOR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,31.976378,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),JPN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,34.440871,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),SWE,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,42.511859,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),AUS,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,29.397567,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),CAN,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,33.831547,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),DEU,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,39.647158,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),FRA,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,45.774383,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),GBR,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,35.420163,A,0,TOTALTAX,1,_Z
OECD.CTP.TPS:DSD_REV_COMP_OECD@DF_RSOECD(1.1),NLD,TAX_REV,S13,_T,_T,PT_B1GQ,A,2022,38.065746,A,0,TOTALTAX,1,_Z
