DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,EXPEND_SOURCE,SPENDING_TYPE,PROGRAMME_TYPE,PRICE_BASE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,DECIMALS,CURRENCY,BASE_PER
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),KOR,A,SOCX,PT_B1GQ,ES10,K,TP01,_Z,2022,0.22,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),FRA,A,SOCX,PT_B1GQ,ES10,K,TP01,_Z,2022,0.406,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),GBR,A,SOCX,PT_B1GQ,ES10,_T,TP01,_Z,2022,7.469,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),USA,A,SOCX,PT_B1GQ,ES10,_T,TP51,_Z,2022,0.658,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),FRA,A,SOCX,PT_B1GQ,ES10,C,TP51,_Z,2022,1.252,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),CAN,A,SOCX,PT_B1GQ,ES10,K,TP01,_Z,2022,,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),USA,A,SOCX,PT_B1GQ,ES10,_T,TP01,_Z,2022,7.162,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),FRA,A,SOCX,PT_B1GQ,ES10,K,TP51,_Z,2022,1.376,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),AUS,A,SOCX,PT_B1GQ,ES10,_T,TP01,_Z,2022,4.501,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),AUS,A,SOCX,PT_B1GQ,ES10,_T,TP51,_Z,2022,1.889,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),FRA,A,SOCX,PT_B1GQ,ES10,_T,TP51,_Z,2022,2.628,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),FRA,A,SOCX,PT_B1GQ,ES10,_T,TP01,_Z,2022,13.803,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),CAN,A,SOCX,PT_B1GQ,ES10,_T,TP01,_Z,2022,5.867,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),CAN,A,SOCX,PT_B1GQ,ES10,_T,TP51,_Z,2022,1.567,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),KOR,A,SOCX,PT_B1GQ,ES10,_T,TP51,_Z,2022,1.652,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),KOR,A,SOCX,PT_B1GQ,ES10,_T,TP01,_Z,2022,4.03,A,0,1,_Z,
OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),JPN,A,SOCX,PT_B1GQ,ES10,_T,TP51,_Z,2022,1.975,A,0,1,_Z,
